source_vector,reference_type,reference_name,cosine_similarity,cosine_distance,euclidean_distance,l1_distance,dot_product
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020113_features,0.7649683,0.2350316,20.06093406677246,627.50073,652.87683
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020114_features,0.7492137,0.25078636,19.49346351623535,596.50305,556.3133
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020115_features,0.73580116,0.26419872,21.054723739624023,649.3865,616.8165
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020117_features,0.7095041,0.29049587,22.83024787902832,691.29236,629.9343
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020118_features,0.70699745,0.2930025,24.2537899017334,754.5875,680.4522
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020119_features,0.6968554,0.30314463,22.49714469909668,663.65784,581.48474
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020120_features,0.7270881,0.2729118,20.192306518554688,596.2213,528.77454
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020121_features,0.7664171,0.2335828,19.139087677001953,592.3721,597.45874
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020123_features,0.7748305,0.22516936,19.36957359313965,571.5468,645.2439
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020124_features,0.6451268,0.35487306,24.357698440551758,725.4581,539.056
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020126_features,0.69740415,0.3025958,21.338356018066406,642.14856,515.0949
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020127_features,0.69363266,0.3063674,23.777694702148438,735.87335,629.71106
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002012_features,0.75369716,0.24630284,20.016019821166992,619.87537,612.864
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020130_features,0.7189101,0.28108984,21.238996505737305,634.2731,576.24646
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020131_features,0.723746,0.27625406,19.93284034729004,588.4313,481.88022
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020133_features,0.6964934,0.30350655,23.096569061279297,688.86914,608.3049
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020134_features,0.7025964,0.2974034,21.541486740112305,646.7168,545.1603
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020135_features,0.65247655,0.34752345,24.66106414794922,733.40027,568.13104
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020136_features,0.71843797,0.28156197,23.06830596923828,695.7074,662.94196
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_000020139_features,0.6521257,0.34787422,23.562395095825195,713.17896,519.69666
DJI_20240313112706_0003_V_frame93010_features,individual,0000205_02019_d_00002013_features,0.6927022,0.30729777,22.25826644897461,674.05066,558.05347
